"Date Last Researched","Country/Area","Project Name","Phase Name","Project Name in Local Language / Script","Other Name(s)","Capacity (MW)","Capacity Rating","Technology Type","Status","Start year","Retired year","Operator","Operator Name in Local Language / Script","Owner","Owner Name in Local Language / Script","Hydrogen","Latitude","Longitude","Location accuracy","City","Local area (taluk, county)","Major area (prefecture, district)","State/Province","Subregion","Region","GEM location ID","GEM phase ID","Other IDs (location)","Other IDs (unit/phase)","Wiki URL"
"2024/02/27","Spain","Lorca Alto Guadalentín solar project V","--",NA,NA,1,"MWac","Assumed PV","operating",NA,NA,NA,NA,NA,NA,NA,"37.6649","-1.8841","exact","Lorca","Alto Guadalentín",NA,NA,"Southern Europe","Europe","L100001009966","G100001011336",NA,"TZ: SOL000211099","https://www.gem.wiki/Lorca_Alto_Guadalentín_solar_project_V"
"2024/02/27","Spain","Lorca Alto Guadalentín solar project VI","--",NA,NA,4.2,"MWac","Assumed PV","operating",NA,NA,NA,NA,NA,NA,NA,"37.6186","-1.7457","exact","Lorca","Alto Guadalentín",NA,NA,"Southern Europe","Europe","L100001009969","G100001011339",NA,"TZ: SOL000211092","https://www.gem.wiki/Lorca_Alto_Guadalentín_solar_project_VI"
"2024/02/27","Spain","Lorca Alto Guadalentín solar project VII","--",NA,NA,1,"MWac","Assumed PV","operating",NA,NA,NA,NA,NA,NA,NA,"37.7516","-1.7010","exact","Lorca","Alto Guadalentín",NA,"Region of Murcia","Southern Europe","Europe","L100001009993","G100001011363",NA,"TZ: SOL000211111","https://www.gem.wiki/Lorca_Alto_Guadalentín_solar_project_VII"
"2024/02/27","Spain","Lorca Alto Guadalentín solar project VIII","--",NA,NA,5.1,"MWac","Assumed PV","operating",NA,NA,NA,NA,NA,NA,NA,"37.4796","-1.7811","exact","Lorca","Alto Guadalentín",NA,NA,"Southern Europe","Europe","L100001010261","G100001011631",NA,"TZ: SOL000211071","https://www.gem.wiki/Lorca_Alto_Guadalentín_solar_project_VIII"
"2024/02/27","Spain","Lorca Alto Guadalentín solar project X","--",NA,NA,5.4,"MWac","Assumed PV","operating",NA,NA,NA,NA,NA,NA,NA,"37.6242","-1.6260","exact","Lorca","Alto Guadalentín",NA,NA,"Southern Europe","Europe","L100001010269","G100001011639",NA,"TZ: SOL000211093","https://www.gem.wiki/Lorca_Alto_Guadalentín_solar_project_X"
"2024/02/27","Spain","Lorca Alto Guadalentín solar project XI","--",NA,NA,1.5,"MWac","Assumed PV","operating",NA,NA,NA,NA,NA,NA,NA,"37.4923","-1.7737","exact","Lorca","Alto Guadalentín",NA,NA,"Southern Europe","Europe","L100001010512","G100001011882",NA,"TZ: SOL000211079","https://www.gem.wiki/Lorca_Alto_Guadalentín_solar_project_XI"
"2024/02/27","Spain","Los Monegros solar project I","--",NA,NA,12.8,"MWac","Assumed PV","operating",NA,NA,NA,NA,NA,NA,NA,"41.8017","-0.0829","exact",NA,"Los Monegros",NA,"Aragon","Southern Europe","Europe","L100001009698","G100001011068",NA,"TZ: SOL000215855","https://www.gem.wiki/Los_Monegros_solar_project_I"
"2024/02/27","Spain","Los Monegros solar project II","--",NA,NA,1.3,"MWac","Assumed PV","operating",NA,NA,NA,NA,NA,NA,NA,"41.9766","-0.5183","exact",NA,"Los Monegros",NA,"Aragon","Southern Europe","Europe","L100001009736","G100001011106",NA,"TZ: SOL000215879","https://www.gem.wiki/Los_Monegros_solar_project_II"
"2024/02/27","Spain","Los Monegros solar project III","--",NA,NA,1.1,"MWac","Assumed PV","operating",NA,NA,NA,NA,NA,NA,NA,"41.8464","-0.2642","exact",NA,"Los Monegros",NA,"Aragon","Southern Europe","Europe","L100001010551","G100001011921",NA,"TZ: SOL000215856","https://www.gem.wiki/Los_Monegros_solar_project_III"
"2024/05/06","Spain","Los Navalmorales solar project","--",NA,NA,6.6,"MWp/dc","Assumed PV","operating",2008,NA,NA,NA,NA,NA,NA,"39.7199","-4.6529","exact",NA,NA,NA,NA,"Southern Europe","Europe","L100001009262","G100001010632",NA,"WKSL: 60246","https://www.gem.wiki/Los_Navalmorales_solar_project"
