"","X","Quality","Day","Month","Year","Hr","Min","Outlier","logger_type","date","time_gmt0","timestamp_gmt0","X_4326","Y_4326","altitude","hdop","lag1","burst","burst2","tipo","sex","species","age","nuclei","region","birdID","IDorder","X_25830","Y_25830","coords.x1","coords.x2","vel","outliers"
"64","65","1","11","04","2011","18","11","0","argos","2011-04-11","18:11:37","2011-04-11 18:11:37","-3.940833333","38.86138889","0.681","0","182676","0","658","NO_burst_boost","M","BBS","AD","MSUR","CLM","BBS_44752",65,418372.089202771,4301815.4672351,418372.089202771,4301815.4672351,0.0300663769709055,"NO"
"65","66","2","11","04","2011","19","51","0","argos","2011-04-11","19:51:44","2011-04-11 19:51:44","-3.902222222","38.87833333","0.646","0","6007","0","658","NO_burst_boost","M","BBS","AD","MSUR","CLM","BBS_44752",66,421740.682743815,4303662.00832126,421740.682743815,4303662.00832126,0.639397777184904,"NO"
"66","67","2","11","04","2011","20","53","0","argos","2011-04-11","20:53:46","2011-04-11 20:53:46","-3.916111111","38.87944444","0.643","0","3722","0","658","NO_burst_boost","M","BBS","AD","MSUR","CLM","BBS_44752",67,420537.167578019,4303797.31033837,420537.167578019,4303797.31033837,0.325301308509402,"NO"
"67","68","2","11","04","2011","22","46","0","argos","2011-04-11","22:46:18","2011-04-11 22:46:18","-3.911388889","38.87861111","0.645","0","6752","0","658","NO_burst_boost","M","BBS","AD","MSUR","CLM","BBS_44752",68,420945.853826337,4303700.73357312,420945.853826337,4303700.73357312,0.0621860333358713,"NO"
"68","69","2","11","04","2011","23","4","0","argos","2011-04-11","23:04:52","2011-04-11 23:04:52","-3.917777778","38.87777778","0.644","0","1114","0","658","NO_burst_boost","M","BBS","AD","MSUR","CLM","BBS_44752",69,420390.739697951,4303613.81040506,420390.739697951,4303613.81040506,0.503926813185454,"NO"
"69","70","2","14","04","2011","4","24","0","argos","2011-04-14","04:24:40","2011-04-14 04:24:40","-3.904722222","38.87861111","0.644","0","191988","0","658","NO_burst_boost","M","BBS","AD","MSUR","CLM","BBS_44752",70,421524.132871348,4303694.9805387,421524.132871348,4303694.9805387,0.0059185475920708,"NO"
"70","71","1","14","04","2011","10","33","0","argos","2011-04-14","10:33:59","2011-04-14 10:33:59","-3.896944444","38.86138889","0.658","0","22159","0","658","NO_burst_boost","M","BBS","AD","MSUR","CLM","BBS_44752",71,422180.014228705,4301777.14618199,422180.014228705,4301777.14618199,0.0914659983032827,"NO"
"71","72","1","16","04","2011","15","25","0","argos","2011-04-16","15:25:55","2011-04-16 15:25:55","-3.8725","38.87944444","0.678","0","190316","0","658","NO_burst_boost","M","BBS","AD","MSUR","CLM","BBS_44752",72,424320.028894653,4303760.2456627,424320.028894653,4303760.2456627,0.0153301731094124,"NO"
"72","73","2","16","04","2011","15","51","0","argos","2011-04-16","15:51:50","2011-04-16 15:51:50","-3.891944444","38.87138889","0.655","0","1555","0","658","NO_burst_boost","M","BBS","AD","MSUR","CLM","BBS_44752",73,422624.669100563,4302882.61082799,422624.669100563,4302882.61082799,1.22689855177611,"NO"
"73","74","1","16","04","2011","17","52","0","argos","2011-04-16","17:52:48","2011-04-16 17:52:48","-3.888333333","38.86055556","0.649","0","7258","0","658","NO_burst_boost","M","BBS","AD","MSUR","CLM","BBS_44752",74,422926.23791025,4301677.36662124,422926.23791025,4301677.36662124,0.171153028370897,"NO"
"74","75","2","16","04","2011","19","32","0","argos","2011-04-16","19:32:37","2011-04-16 19:32:37","-3.873055556","38.87333333","0.666","0","5989","0","658","NO_burst_boost","M","BBS","AD","MSUR","CLM","BBS_44752",75,424265.353303352,4303082.54752057,424265.353303352,4303082.54752057,0.3240522109497,"NO"
"75","76","3","16","04","2011","21","37","0","argos","2011-04-16","21:37:33","2011-04-16 21:37:33","-3.875833333","38.87472222","0.670","0","7496","0","658","NO_burst_boost","M","BBS","AD","MSUR","CLM","BBS_44752",76,424025.865200485,4303238.98292436,424025.865200485,4303238.98292436,0.0381557247875712,"NO"
"76","77","2","19","04","2011","3","30","0","argos","2011-04-19","03:30:53","2011-04-19 03:30:53","-3.88","38.87444444","0.671","0","194000","0","658","NO_burst_boost","M","BBS","AD","MSUR","CLM","BBS_44752",77,423664.124550415,4303211.63343969,423664.124550415,4303211.63343969,0.0018699545819223,"NO"
"77","78","2","21","04","2011","10","50","0","argos","2011-04-21","10:50:53","2011-04-21 10:50:53","-3.878888889","38.87972222","0.672","0","199200","0","658","NO_burst_boost","M","BBS","AD","MSUR","CLM","BBS_44752",78,423766.149172097,4303796.38818192,423766.149172097,4303796.38818192,0.00297984624729313,"NO"
"78","79","1","21","04","2011","11","37","0","argos","2011-04-21","11:37:09","2011-04-21 11:37:09","-3.8775","38.87388889","0.669","0","2776","0","658","NO_burst_boost","M","BBS","AD","MSUR","CLM","BBS_44752",79,423880.398845881,4303147.89555837,423880.398845881,4303147.89555837,0.237119127847126,"NO"
"79","80","1","21","04","2011","14","37","0","argos","2011-04-21","14:37:04","2011-04-21 14:37:04","-3.897777778","38.87638889","0.649","0","10795","0","658","NO_burst_boost","M","BBS","AD","MSUR","CLM","BBS_44752",80,422124.081051474,4303442.42927238,422124.081051474,4303442.42927238,0.164953977772254,"NO"
"80","81","1","21","04","2011","16","37","0","argos","2011-04-21","16:37:46","2011-04-21 16:37:46","-3.865555556","38.87805556","0.681","0","7242","0","658","NO_burst_boost","M","BBS","AD","MSUR","CLM","BBS_44752",81,424920.93287136,4303600.38443372,424920.93287136,4303600.38443372,0.386760818892285,"NO"
"81","82","1","21","04","2011","19","9","0","argos","2011-04-21","19:09:20","2011-04-21 19:09:20","-3.878611111","38.8775","0.677","0","9094","0","658","NO_burst_boost","M","BBS","AD","MSUR","CLM","BBS_44752",82,423787.869955354,4303549.5529899,423787.869955354,4303549.5529899,0.124706161896998,"NO"
"82","83","3","23","04","2011","20","12","0","argos","2011-04-23","20:12:47","2011-04-23 20:12:47","-3.902222222","38.875","0.650","0","176607","0","658","NO_burst_boost","M","BBS","AD","MSUR","CLM","BBS_44752",83,421737.026523811,4303292.10310693,421737.026523811,4303292.10310693,0.0117035444539847,"NO"
"83","84","3","23","04","2011","21","54","0","argos","2011-04-23","21:54:27","2011-04-23 21:54:27","-3.898333333","38.87277778","0.649","0","6100","0","658","NO_burst_boost","M","BBS","AD","MSUR","CLM","BBS_44752",84,422071.946056931,4303042.17270783,422071.946056931,4303042.17270783,0.0684961613192253,"NO"
"84","85","1","23","04","2011","22","19","0","argos","2011-04-23","22:19:08","2011-04-23 22:19:08","-3.895","38.87138889","0.649","0","1481","0","658","NO_burst_boost","M","BBS","AD","MSUR","CLM","BBS_44752",85,422359.597906847,4302885.20513646,422359.597906847,4302885.20513646,0.221115078804135,"NO"
"85","86","3","23","04","2011","23","8","0","argos","2011-04-23","23:08:00","2011-04-23 23:08:00","-3.897222222","38.87277778","0.648","0","2932","0","658","NO_burst_boost","M","BBS","AD","MSUR","CLM","BBS_44752",86,422168.333706203,4303041.22476604,422168.333706203,4303041.22476604,0.0841555120482686,"NO"
"86","87","2","23","04","2011","23","55","0","argos","2011-04-23","23:55:36","2011-04-23 23:55:36","-3.900833333","38.87305556","0.651","0","2856","0","658","NO_burst_boost","M","BBS","AD","MSUR","CLM","BBS_44752",87,421855.377995084,4303075.13555756,421855.377995084,4303075.13555756,0.110181161158137,"NO"
"87","88","3","26","04","2011","7","30","0","argos","2011-04-26","07:30:01","2011-04-26 07:30:01","-3.873888889","38.87222222","0.664","0","200065","0","658","NO_burst_boost","M","BBS","AD","MSUR","CLM","BBS_44752",88,424191.882894135,4302959.93777292,424191.882894135,4302959.93777292,0.0116928563587142,"NO"
"88","89","1","28","04","2011","16","45","1","argos","2011-04-28","16:45:56","2011-04-28 16:45:56","-4.044166667","30.50666667","0.000","0","206155","0","658","NO_burst_boost","M","BBS","AD","MSUR","CLM","BBS_44752",89,399805.34141874,3375393.79066973,399805.34141874,3375393.79066973,4.5008957473551,"NO"
